,movie,year,imdb,metascore,votes,n_imdb
760,Ghostbusters,2016,5.3,60,151154,53.0
761,The Promise,2016,5.9,49,150714,59.0
762,Moonlight,2016,7.5,99,145103,75.0
763,Manchester by the Sea,2016,7.9,96,143380,79.0
764,Sully,2016,7.5,74,143274,75.0
765,The Conjuring 2,2016,7.4,65,140827,74.0
766,Nocturnal Animals,2016,7.5,67,133418,75.0
767,Independence Day: Resurgence,2016,5.3,32,131027,53.0
768,Moana,2016,7.7,81,130499,77.0
769,The Magnificent Seven,2016,6.9,54,127847,69.0
770,Don't Breathe,2016,7.2,71,126583,72.0
771,The Secret Life of Pets,2016,6.6,61,125148,66.0
772,Sausage Party,2016,6.3,66,124686,63.0
773,The Legend of Tarzan,2016,6.3,44,122071,63.0
774,Assassin's Creed,2016,5.9,36,121048,59.0
775,Hell or High Water,2016,7.7,88,120701,77.0
776,Me Before You,2016,7.4,51,117383,74.0
777,Lion,2016,8.1,69,112983,81.0
778,War Dogs,2016,7.1,57,112428,71.0
779,Captain Fantastic,2016,7.9,72,110678,79.0
780,The Girl on the Train,2016,6.5,48,106722,65.0
781,Miss Peregrine's Home for Peculiar Children,2016,6.7,57,106464,67.0
782,Hidden Figures,2016,7.8,74,103770,78.0
783,London Has Fallen,2016,5.9,28,102451,59.0
784,Logan,2017,8.3,77,324053,83.0
785,Guardians of the Galaxy Vol. 2,2017,8.1,67,177262,81.0
786,Wonder Woman,2017,8.0,76,161290,80.0
787,John Wick: Chapter 2,2017,7.7,75,144159,77.0
788,Beauty and the Beast,2017,7.5,65,139645,75.0
789,Get Out,2017,7.8,84,138880,78.0
790,Kong: Skull Island,2017,6.8,62,116204,68.0
791,The Fate of the Furious,2017,7.0,56,101244,70.0
792,Alien: Covenant,2017,6.8,65,89546,68.0
793,Life,2017,6.7,54,83865,67.0
794,Pirates of the Caribbean: Dead Men Tell No Tales,2017,7.0,39,79723,70.0
795,Ghost in the Shell,2017,6.6,52,68888,66.0
796,The LEGO Batman Movie,2017,7.4,75,62677,74.0
797,xXx: Return of Xander Cage,2017,5.2,42,51235,52.0
798,Fifty Shades Darker,2017,4.6,33,50369,46.0
799,T2 Trainspotting,2017,7.4,67,49250,74.0
800,Power Rangers,2017,6.3,44,47083,63.0
801,The Mummy,2017,5.8,34,36330,58.0
802,The Boss Baby,2017,6.4,50,33774,64.0
803,A Dog's Purpose,2017,6.7,43,29908,67.0
804,Transformers: The Last Knight,2017,5.3,28,22761,53.0
805,Rings,2017,4.5,25,21140,45.0
806,Baywatch,2017,5.8,37,20929,58.0
807,The Space Between Us,2017,6.4,33,19483,64.0
808,Baby Driver,2017,8.5,86,18295,85.0
809,War Machine,2017,6.1,56,17239,61.0
810,Fist Fight,2017,5.7,37,16948,57.0
811,Gifted,2017,7.7,60,15301,77.0
812,I Don't Feel at Home in This World Anymore,2017,7.0,75,14490,70.0
813,Sleepless,2017,5.5,34,13916,55.0
814,Before I Fall,2017,6.4,58,13531,64.0
815,The Discovery,2017,6.3,55,13373,63.0
